"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CHE","GDP","TOT","MLN_USD","A","2010",425979.998,
"CHE","GDP","TOT","MLN_USD","A","2011",454911.977,
"CHE","GDP","TOT","MLN_USD","A","2012",475340.888,
"CHE","GDP","TOT","MLN_USD","A","2013",498760.658,
"CHE","GDP","TOT","MLN_USD","A","2014",519299.875,
"CHE","GDP","TOT","MLN_USD","A","2015",540550.996,
"CHE","GDP","TOT","MLN_USD","A","2016",563950.47,
"CHE","GDP","TOT","MLN_USD","A","2017",576360.576,
"CHE","GDP","TOT","MLN_USD","A","2018",601868.008,
"CHE","GDP","TOT","MLN_USD","A","2019",623154.669,
"CHE","GDP","TOT","MLN_USD","A","2020",613400.095,
